Region,Maker,Brand,Model,Model year,Supplier,Products,Component category
China,Tesla China,Tesla,Model 3 (4WD) (China),2023,"BTR New Material Group Co., Ltd.",Anode material for lithium-ion battery,Anode Material for EV / PHEV / HEV Battery
China,Tesla China,Tesla,Model 3 (4WD) (China),2023,"Jiangsu Langxin Electric Co., Ltd.",Battery electric drive fan,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model 3 (4WD) (China),2023,"Jiangsu Langxin Electric Co., Ltd.",Electric water pump,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model 3 (4WD) (China),2023,"Wuxi Longsheng Technology Co., Ltd.",Motor rotor,Motor Core
China,Tesla China,Tesla,Model 3 (4WD) (China),2023,"Wuxi Longsheng Technology Co., Ltd.",Motor stator,Traction Motor / E-Axle
China,Tesla China,Tesla,Model 3 (RR) (China),2023,"BTR New Material Group Co., Ltd.",Anode material for lithium-ion battery,Anode Material for EV / PHEV / HEV Battery
China,Tesla China,Tesla,Model 3 (RR) (China),2023,"Jiangsu Langxin Electric Co., Ltd.",Battery electric drive fan,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model 3 (RR) (China),2023,"Jiangsu Langxin Electric Co., Ltd.",Electric water pump,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model 3 (RR) (China),2023,"Wuxi Longsheng Technology Co., Ltd.",Motor rotor,Motor Core
China,Tesla China,Tesla,Model 3 (RR) (China),2023,"Wuxi Longsheng Technology Co., Ltd.",Motor stator,Traction Motor / E-Axle
Americas,Tesla,Tesla,Model 3 (USA),2023,"BTR New Material Group Co., Ltd.",Anode material for lithium-ion battery,Anode Material for EV / PHEV / HEV Battery
Americas,Tesla,Tesla,Model 3 (USA),2023,Panasonic Energy of North America (PENA),NCA battery cell (Cylinder),EV / PHEV / HEV Battery Cell/Module
Americas,Tesla,Tesla,Model S (USA),2023,"Panasonic Energy Co., Ltd. - Suminoe plant",Lithium-ion battery cell (Cylinder),EV / PHEV / HEV Battery Cell/Module
Americas,Tesla,Tesla,Model X (USA),2023,SPAL Automotive USA,Electric drive fan,Cooling Fan / Cooling Fan Motor
Americas,Tesla,Tesla,Model X (USA),2023,"Panasonic Energy Co., Ltd. - Suminoe plant",Lithium-ion battery cell (Cylinder),EV / PHEV / HEV Battery Cell/Module
China,Tesla China,Tesla,Model Y (4WD) (China),2023,"BTR New Material Group Co., Ltd.",Anode material for lithium-ion battery,Anode Material for EV / PHEV / HEV Battery
China,Tesla China,Tesla,Model Y (4WD) (China),2023,"Jiangsu Langxin Electric Co., Ltd.",Battery electric drive fan,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model Y (4WD) (China),2023,"Jiangsu Langxin Electric Co., Ltd.",Electric water pump,EV / PHEV / HEV Battery Cooling/Heating System
